date,title,url
2025-11-24T00:00:00Z,"India sees major collaboration potential with Canada in critical minerals, clean energy and emerging technologies: Commerce and Industry Minister",https://www.pib.gov.in/PressReleseDetail.aspx?PRID=2193444&reg=3&lang=1
2025-11-15T00:00:00Z,"Piyush Goyal Calls for Reactivating Bilateral Mechanism; Venezuela Eyes Critical Minerals, Indian Investments",https://www.pib.gov.in/PressReleseDetail.aspx?PRID=2190279&reg=3&lang=1
2025-08-19T00:00:00Z,"Prime Minister shares an article highlighting the government’s landmark initiatives, such as the National Critical Minerals Mission, Mission Sudarshan Chakra, Viksit Bharat Rozgar Yojana, National Deep Water Exploration",https://www.pib.gov.in/PressReleseDetail.aspx?PRID=2157809&reg=3&lang=1
2025-08-08T00:00:00Z,Patenting Push under NCMM: Government Supports Innovation in Critical Minerals,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=2154428&reg=3&lang=1
2025-08-07T00:00:00Z,Geological Survey of India Hosts National Conference on Critical Minerals at Jabalpur,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=2153715&reg=3&lang=1
2025-07-28T00:00:00Z,Critical Minerals in Coal Mine Waste and Coal Ash,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=2149191&reg=3&lang=1
2025-03-26T00:00:00Z,Extraction of Critical Minerals from Tailings,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=2115222&reg=3&lang=1
2025-03-24T00:00:00Z,Strategic Supply Chain Management for Critical Minerals,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=2114467&reg=3&lang=1
2025-03-24T00:00:00Z,Reserves and Extraction of Critical Minerals,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=2114466&reg=3&lang=1
2025-03-18T00:00:00Z,IMPORT OF CRITICAL MINERALS FOR EVs,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=2112232&reg=3&lang=1
2025-02-15T00:00:00Z,"India and Sri Lanka Strengthen Ties in Critical Minerals, Exploration, and Mining",https://www.pib.gov.in/PressReleseDetail.aspx?PRID=2103502
2025-02-04T00:00:00Z,Union Minister Shri G. Kishan Reddy Meets Saudi Minister to Strengthen Cooperation in Critical Minerals Sector,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=2099793
2025-02-03T00:00:00Z,Union Minister Shri G. Kishan Reddy to Meet Saudi Minister Tomorrow for Strengthening Cooperation in Critical Minerals Sector,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=2099317
2025-02-01T00:00:00Z,"“The reforms in the mining sector, especially with respect to critical minerals will mark a major step toward realizing the vision of Viksit Bharat 2047, building an Atmanirbhar, future-ready Bharat”: G Kishan Reddy, Uni...",https://www.pib.gov.in/PressReleseDetail.aspx?PRID=2098653
2025-01-30T00:00:00Z,"National Critical Minerals Mission aims to reduce import dependence, strengthen domestic value chains and support India's 'Net Zero by 2070' goal: Prime Minister",https://www.pib.gov.in/PressReleseDetail.aspx?PRID=2097558
2024-11-13T00:00:00Z,Mines Ministry Signs MoU with International Energy Agency on Cooperation in the Area of Critical Minerals,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=2073034
2024-09-11T00:00:00Z,"India-US working together in areas like critical minerals, supply chains and advanced technologies: Shri Piyush Goyal",https://www.pib.gov.in/PressReleseDetail.aspx?PRID=2053832
2024-08-21T00:00:00Z,Africa can compliment India's need for critical minerals needed for sectors like EVs: Union Minister Shri Piyush Goyal,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=2047346
2024-08-14T00:00:00Z,Mines Ministry Organises Budget Seminar on National Critical Minerals Mission,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=2045365
2024-08-13T00:00:00Z,Ministry of Mines to organize Budget Seminar on National Critical Minerals Mission Tomorrow,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=2044914
2024-08-07T00:00:00Z,Exploration and Processing of Critical Minerals,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=2042601
2024-07-31T00:00:00Z,"KABIL is exploring opportunities for acquisition of overseas critical minerals assets in Argentina, Australia and Chile",https://www.pib.gov.in/PressReleseDetail.aspx?PRID=2039606
2024-07-31T00:00:00Z,Critical Minerals for Green Transition,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=2039603
2024-07-29T00:00:00Z,STRATEGIC MINING PROGRAMME FOR EXPLORATION OF CRITICAL MINERALS,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=2038443
2024-07-22T00:00:00Z,Initiatives to Promote Exploration and Processing of critical minerals,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=2035211
2024-04-30T00:00:00Z,Critical Minerals Summit Concludes on a note of Strategic Collaboration and Policy Insights to Advance India’s Critical Mineral Agenda,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=2019185
2024-04-29T00:00:00Z,Mines Ministry Inks MoU with Shakti Sustainable Energy Foundation for Providing Knowledge Support in the Field of Critical Minerals,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=2019100
2024-04-28T00:00:00Z,Mines Ministry to Hold Two-day Critical Minerals Summit from Tomorrow,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=2019026
2024-04-10T00:00:00Z,KABIL and CSIR-IMMT sign MoU for Technical and Knowledge cooperation for Critical Minerals,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=2017658
2024-02-08T00:00:00Z,Mines Ministry Conducts Roadshow on Auction of Critical Minerals,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=2003890
2024-02-05T00:00:00Z,Details & Status of Critical Minerals Blocks Auction Process,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=2002706
2023-12-21T00:00:00Z,Mines Ministry to Hold Pre bid Conference on Critical Minerals Tomorrow,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1989273
2023-12-15T00:00:00Z,Mines Ministry to Directly Sanction Exploration Projects of Critical Minerals to Notified Private Exploration Agencies,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1986610
2023-12-13T00:00:00Z,Measures Initiated to Attain Self-reliance in Critical Minerals,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1985839
2023-12-11T00:00:00Z,Thirty Minerals Listed as Critical Minerals for India,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1984942
2023-11-27T00:00:00Z,Mines Ministry to Organise Outreach Programme on Global Action on Critical Minerals,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1980159
2023-08-02T00:00:00Z,Steps being taken by the Government for becoming self-reliant in critical minerals,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1944961
2023-07-31T00:00:00Z,EFFORTS FOR UNINTERRUPTED SUPPLY OF CRITICAL MINERALS,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1944303
2023-07-24T00:00:00Z,Thirty Critical Minerals List Released,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1942027
2023-06-28T00:00:00Z,Union Minister Pralhad Joshi unveils List of “Critical Minerals for India”,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1936083
2023-06-27T00:00:00Z,Mines Ministry to Unveil “List of Critical Minerals for India”,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1935587
2023-04-02T00:00:00Z,G20 – ENERGY TRANSITION WORKING GROUP MEETING – GANDHINAGAR; Side event on ‘Diversifying Renewables & Critical Minerals Supply Chains to Advance Energy Transition’ tomorrow,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1913118
2023-03-11T00:00:00Z,Milestone in India and Australia reach Critical Minerals Investment Partnership,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1905863
2022-12-21T00:00:00Z,Demand For Critical Minerals to Increase,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1885378
2019-08-01T00:00:00Z,KABIL Set up to Ensure Supply of Critical Minerals,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1581058
